Coat hanger abortions;Abortos com cabide
Man meat;Carne humana
Autocannibalism;Autocanibalismo
Vigorous jazz hands;Mãos de Jazz vigorosas
Flightless birds;Passaros que não voam
Pictures of boobs;Fotos de peitos
Doing the right thing;A coisa certa a se fazer
Hunting accidents;Acidentes de caça
A cartoon camel enjoying the smooth, refreshing taste of a cigarette;Um camelo cartunesco apreciando o suave e refrescante gosto de um cigarro
The violation of our most basic human rights;A violação dos nossos direitos humanos fundamentais
Viagra;Viagra
Self-loathing;Autoaversão
Spectacular abs;Um abdomem espetacular
An honest cop with nothing left to lose;Um policial honesto com nada a perder
Abstinence;Abstinencia
A balanced breakfast;Um café da manhã balanceado
Mountain Dew Code Red;Red Bull
Concealing a boner;O ato de esconder uma ereção
Roofies;Sedativos
Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts;Faustão convulsivamente vomitando enquanto uma ninhada de aranhas-caranguejo eclodem em seu cérebro e irrompem de seus ductos lacrimais
Tweeting;O ato de tuitar
The Big Bang;O Big Bang
Amputees;Pessoas com membros amputados
Dr. Marting Luther King Jr;Zumbi dos Palmares
Former President George W. Bush;Ex-presidente Lula
Being marginalized;Marginalizado
Smegma;Smegma
Laying an egg;O ato de botar um ovo
Cuddling;Carinho
Aaron Burr;Médici costurando casaquinhos de lã para cães de rua
The Pope;O papa
A bleached asshole;Um cu alvejado
Horse meat;Carne de cavalo
Genital piercings;Piercings genitais
Fingering;Dedadas
Elderly Japanese men;Asiáticos idosos
Stranger danger;Perigo estranho
Fear itself;O próprio medo
Science;Ciência
Praying the gay away;Cura Gay
Same-sex ice dancing;Patinação de casais do mesmo sexo
The terrorists;Os terroristas
Making sex at her;Sexo com ela
German dungeon porn;Pornochanchada
Bingeing and purging;Bulimia
Ethnic cleansing;Apagamento de etnias
Cheating in the Special Olympics;Trapaça nas paraolimpíadas
Nickelback;Restart
Heteronormativity;Heteronormatividade
William Shatner;Regina Casé
Making a pouty face;Biquinho
Chainsaws for hands;Motosserras como mãos
The placenta;Placenta
The profoundly handicapped;Os muito deficientes
Tom Cruise;Antônio Fagundes voando num boi feito de raios
Object permanence;Inês Brasil
Goblins;FADAS !
An icepick lobotomy;Lobotomia com picador de gelo
Arnold Schwarzenegger;Thais Araújo
Hormone injections;Injeções de hormônios
A falcon with a cap on its head;Um Urubu com chapéu de palha
Foreskin;Prepúcio
Dying;Morte
Stunt doubles;Dublês
The invisible hand;A mão invisível
Jew-fros;Plugs anais
A really cool hat;Um chapéu muito maneiro
Flash flooding;Enchentes
Flavored condoms;Camisinhas saborizadas
Dying of disentery;Morte por disenteria
Sexy pillow fights;Lutas de travesseiros sexy
The Three-Fifths compromise;Tratado de Tordesilhas
A sad handjob;Uma punheta triste
Men;Homens
Historically black colleges;Exclusão social
Sean Penn;Pitty
Heartwarming orphans;Orfãos apaixonantes
Waterboarding;Surf
The clitoris;O clitóris
Vikings;Cangaceiros
Friends who eat all the snacks;Amigos que comem o lanche todo
The Underground Railroad;O metrô
Pretending to care;Fingir que se importa
Raptor attacks;Ataques de dinossauros
A micropenis;Um micropênis
A Gypsy curse;Uma maldicao indígena
Agriculture;Agricultura
Bling;Jóias
A clandestine butt scratch;Uma coçada clandestina na bunda
The South;O sul
Sniffing glue;Cheirar cola
Consultants;Contatinhos
My humps;Meus quadris
Geese;Gansos
Being a dick to children;Babaquice com crianças
Party poopers;Estraga prazeres
Sunshine and rainbows;Luz do sol e arco-iris
YOU MUST CONSTRUCT ADDITIONAL PYLONS;PARA NOSSA ALEGRIA !
Mutually-assured destruction;Destruicao mutuamente assegurada
Heath Ledger;Os pelos do peito de Tony Ramos
Sexting;Sexting
An Oedipus complex;Complexo de Edipo
