Tentacle porn;Pornô de tentaculos
A hot mess;O boi tatá
Too much hair gel;Muito gel de cabelo
A look-see;Células-tronco embrionárias
Not giving a shit about the Third World;Forças misteriosas fora do nosso controle
American Gladiators;Ira menstrual
The Kool-Aid Man;Os ritmos africanos
Mr. Snuffleupagus;Acidentes horríveis de depilação a laser
Barack Obama;Objetos brilhantes
The inevitable heat death of the universe;A morte inevitavel do universo
Nocturnal emissions;Emissões noturnas
Daddy issues;Problemas com pai
The hardworking Mexican;Os médicos cubanos
Natalie Portman;Bruna Marquezine
Waking up half-naked in a Denny's parking lot;Sexo no banheiro do Mc Donalds
Nipple blades;Laminas de mamilos
Assless chaps;Calças sem bunda
Full frontal nudity;Nudez frontal completa
Hulk Hogan;Kleber Bambam
Passive-aggression;Passiva-agressividade
Ronald Reagan;Dilma Rousseff
Vehicular manslaughter;Atropelamento
Menstruation;Menstruação
Pulling out;Coito interrompido
Picking up girls at the abortion clinic;Garotas em clínicas de aborto
The homosexual agenda;Ditadura Gay
The Holy Bible;A Biblia Sagrada
World peace;Paz mundial
Dropping a chandelier on your enemies and riding the rope up;Morte aos seus inimigos esmagados por um candelabro 
Testicular torsion;Torção testicular
The milk man;O leiteiro
A time-travel paradox;Um paradoxo temporal
Hot Pockets;Hot Pockets
Guys who don't call;Caras que não ligam
Eating the last known bison;Churrasco de mico-leão-dourado
Darth Vader;Darth Vader
Scalping;Conexão humana genuína
Homeless people;Os sem teto
The Worlds of Warcraft;O cu imaculado de Eliana
Gloryholes;Gloryholes
Saxophone solos;Solos de saxofone
Sean Connery;A arte da sedução
God;Deus
Intelligent design;Design inteligente
The taint, the grundle, the fleshy fun-bridge;Um sistema de classes impregnado
Friendly fire;Fogo amigo
Keg stands;Emoções
Eugenics;Eugenia
A good sniff;Uma boa cheirada
Lockjaw;Uma bola de cera de ouvido, semen e pedaços de unha
A neglected Tamagotchi;Um tamagotchi rejeitado
The People's Elbow;Estupidez imensurável
Robert Downey Jr.;Migalhas espalhadas por todo o maldito tapete
The heart of a child;O coracao de uma crianca
